Year,Run.Year,Brood.Line,Escapement,Run.Size,Harvest,RperS,Spawners,RS,lnRS,prevYearRunSize,prevYearEscapement,PWS_pink_harvests,prev_PWS_pink_harvests.x,prev_PWS_pink_harvests.y,prev_Run.Size,prev_tot_PWS_return,prev_tot_return_scaled,prev_Run.Size_scaled,prev_tot_return_av,prev_Run.Size_av,sameYrNEPacific,prevYrNEPacific,sameYrAK,prevYrAK,sameYrOtherPinks,prevYrOtherPinks,releaseUnited.States,prev_release_United.States,PWS_released_Total,PWS_released_prev_Total,sameYrcomp_regional,prevYrcomp_regional,av_comp_regional,sameYr_sockeye_regional,sameYrcompetitors,sameYrallspecies,egoa.win.sst,egoa.spr.sst,wgoa.win.sst,wgoa.spr.sst,egoa.win.sst_sameYr,egoa.spr.sst_sameYr,wgoa.win.sst_sameYr,wgoa.spr.sst_sameYr,SST_win_GoA,SST_spr_GoA,SST_sum_GoA,SST_win_GoA_prev,SST_spr_GoA_prev,SST_sum_GoA_prev,SST_win_nGoA,SST_spr_nGoA,SST_sum_nGoA,SST_win_nGoA_prev,SST_spr_nGoA_prev,SST_sum_nGoA_prev,SST_win_eGoA,SST_spr_eGoA,SST_sum_eGoA,SST_win_eGoA_prev,SST_spr_eGoA_prev,SST_sum_eGoA_prev,SST_win_PWS,SST_spr_PWS,SST_sum_PWS,SST_win_PWS_prev,SST_spr_PWS_prev,SST_sum_PWS_prev,pCO2_PWS,pCO2_nGoA,pCO2_wGoA,pH_PWS,pH_nGoA,pH_wGoA,aragon_PWS,aragon_nGoA,aragon_wGoA,mean_pCO2,mean_NGAO,mean_pH,mean_arag,ALV,PDOsum,PDOann,PDOsum_prev,PDOann_prev,NPGOsum,NPGOann,NPGOsum_prev,NPGOann_prev,BL,regime
1960,1960,Even,3.872483,5.714379,1.841896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.6993624,363.8872804,39176.56158,41928.63672,30765.92044,35092.5097,0.0324,0.684233,0,0,29.0417052,31.27126948,30.15648734,16.1005122,1.774780425,2080.946731,0.789263831,0.761344705,0.473504604,0.724611868,0.88094636,0.259646116,0.448479144,0.246299324,7.098,17.831,33.063,7.058,18.855,34.037,-5.517,15.272,30.533,-8.944,17.535,31.666,-14.276,11.419,29.372,-17.641,12.591,30.221,-11.959,10.4,25.558,-14.399,11.131,25.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337.36,-0.003333333,0.0575,NA,NA,0.486747137,0.747739953,-0.424687157,-0.203461008,even,upto1988
1961,1961,Odd,6.304415,8.602633,2.298218,NA,NA,NA,NA,5.714379,3.872483,NA,NA,0,5.714379,5.714379,0.296101683,0.296101683,0.296101683,0.296101683,320.8471034,188.6993624,68461.54918,39176.56158,51001.26236,30765.92044,0.832086,0.0324,0,0,30.94982859,29.0417052,29.99576689,19.27015303,1.525586181,2005.347191,0.88094636,0.259646116,0.448479144,0.246299324,0.630517323,0.980613692,0.003858577,0.882383431,6.799,18.074,33.029,7.098,17.831,33.063,-9.505,15.339,30.018,-5.517,15.272,30.533,-15.789,11.08,28.398,-14.276,11.419,29.372,-12.647,8.624,25.084,-11.959,10.4,25.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345.1,-0.986666667,-0.8175,-0.003333333,0.0575,1.113063267,0.970684513,0.486747137,0.747739953,odd,upto1988
1962,1962,Even,5.785579,12.527895,6.742316,3.235106721,3.872483,3.23510652,1.174061917,8.602633,6.304415,NA,NA,0,8.602633,8.602633,0.445762192,0.445762192,0.370931938,0.370931938,261.1302102,320.8471034,82344.3814,68461.54918,65214.71065,51001.26236,0,0.832086,0,0,32.99030884,30.94982859,31.97006871,18.10720677,1.547422466,1947.979627,0.630517323,0.980613692,0.003858577,0.882383431,0.348728783,0.541715544,-0.160819205,0.105336594,7.024,17.766,34.164,6.799,18.074,33.029,-7.981,15.059,31.84,-9.505,15.339,30.018,-12.267,11.576,30.981,-15.789,11.08,28.398,-13.679,8.416,26.37,-12.647,8.624,25.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.16,-1.186666667,-1.158333333,-0.986666667,-0.8175,-0.245723319,-0.093424126,1.113063267,0.970684513,even,upto1988
1963,1963,Odd,3.886869,9.182247,5.295378,1.456478843,6.304415,1.456478833,0.376021771,12.527895,5.785579,NA,NA,0,12.527895,12.527895,0.649157291,0.649157291,0.463673722,0.463673722,356.0677383,261.1302102,72787.55347,82344.3814,56992.49385,65214.71065,1.540505,0,0,0,30.25888581,32.99030884,31.62459732,17.77449287,1.461742343,1998.765799,0.348728783,0.541715544,-0.160819205,0.105336594,1.206791277,1.175111323,0.387766491,0.371111225,9.076,18.008,35.278,7.024,17.766,34.164,-4.758,13.166,33.355,-7.981,15.059,31.84,-9.072,8.262,31.956,-12.267,11.576,30.981,-9.471,8.075,27.869,-13.679,8.416,26.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373.1,-0.97,-0.685833333,-1.186666667,-1.158333333,-0.405845533,-0.234721502,-0.245723319,-0.093424126,odd,upto1988
1964,1964,Even,5.280046,9.486942,4.206896,1.639756654,5.785579,1.639756712,0.494547849,9.182247,3.886869,NA,NA,0,9.182247,9.182247,0.475796021,0.475796021,0.466704297,0.466704297,224.2390281,356.0677383,96540.42128,72787.55347,81863.41,56992.49385,0,1.540505,0,0,34.44016122,30.25888581,32.34952352,16.83170593,1.758203554,2097.348339,1.206791277,1.175111323,0.387766491,0.371111225,0.772380364,-0.535210695,0.847135473,-0.351724672,6.237,16.528,31.669,9.076,18.008,35.278,-9.215,13.295,30.543,-4.758,13.166,33.355,-18.679,10.229,30.165,-9.072,8.262,31.956,-13.809,5.925,24.192,-9.471,8.075,27.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364.78,-0.62,-0.77,-0.97,-0.685833333,1.089984583,0.544102425,-0.405845533,-0.234721502,even,upto1988
1965,1965,Odd,2.798039,5.25851,2.460471,1.352890882,3.886869,1.352890977,0.302243697,9.486942,5.280046,NA,NA,0,9.486942,9.486942,0.491584386,0.491584386,0.471680315,0.471680315,312.9514926,224.2390281,47265.04385,96540.42128,39093.88199,81863.41,3.118065,0,0,0,24.03214545,34.44016122,29.23615333,15.11554832,1.454717845,1930.239071,0.772380364,-0.535210695,0.847135473,-0.351724672,-0.714649737,-1.030852435,-0.713495928,-0.819322033,5.644,15.691,32.623,6.237,16.528,31.669,-7.294,11.218,31.027,-9.215,13.295,30.543,-16.818,8.694,29.954,-18.679,10.229,30.165,-13.798,5.19,25.398,-13.809,5.925,24.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347.38,-0.356666667,-0.314166667,-0.62,-0.77,-0.65548186,-0.837212701,1.089984583,0.544102425,odd,upto1988
1966,1966,Even,4.080189,6.779607,2.699418,1.284005364,5.280046,1.284005291,0.249984383,5.25851,2.798039,NA,NA,0,5.25851,5.25851,0.272479942,0.272479942,0.466955967,0.466955967,273.0109161,312.9514926,104119.8892,47265.04385,92406.56108,39093.88199,0,3.118065,0,0,35.47671453,24.03214545,29.75442999,18.99259822,1.592745233,1980.956083,-0.714649737,-1.030852435,-0.713495928,-0.819322033,0.02213676,-0.423429634,-0.113348903,-0.581710014,5.795,16.466,32.204,5.644,15.691,32.623,-9.261,13.646,30.494,-7.294,11.218,31.027,-14.885,10.36,29.255,-16.818,8.694,29.954,-16.549,7.718,25.355,-13.798,5.19,25.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430.48,0.023333333,-0.459166667,-0.356666667,-0.314166667,-1.118509127,-0.956356193,-0.65548186,-0.837212701,even,upto1988
1967,1967,Odd,2.414736,5.041076,2.62634,1.801646173,2.798039,1.801646081,0.588700787,6.779607,4.080189,NA,NA,0,6.779607,6.779607,0.351298547,0.351298547,0.448063238,0.448063238,282.0052532,273.0109161,25911.41132,104119.8892,15978.60807,92406.56108,0.420958,0,0,0,31.19010551,35.47671453,33.33341002,19.80591857,1.393271672,1814.160502,0.02213676,-0.423429634,-0.113348903,-0.581710014,-0.20115399,0.233481886,-0.280423283,0.244566142,5.694,17.404,34.021,5.795,16.466,32.204,-8.572,11.971,29.866,-9.261,13.646,30.494,-14.973,11.284,29.718,-14.885,10.36,29.255,-16.196,5.524,22.383,-16.549,7.718,25.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,-1.096666667,-0.734166667,0.023333333,-0.459166667,-1.059811953,-0.699724801,-1.118509127,-0.956356193,odd,upto1988
1968,1968,Even,3.315682,5.76785,2.452168,1.413623248,4.080189,1.413623241,0.346156088,5.041076,2.414736,NA,NA,0,5.041076,5.041076,0.261213176,0.261213176,0.370474415,0.370474415,259.5531054,282.0052532,86362.35171,25911.41132,77593.77685,15978.60807,0,0.420958,0,0,44.61068432,31.19010551,37.90039491,26.15460808,1.445918709,1822.706518,-0.20115399,0.233481886,-0.280423283,0.244566142,0.090972421,0.134827893,0.081532865,0.324639299,6.45,17.903,33.811,5.694,17.404,34.021,-8.099,14.128,31.792,-8.572,11.971,29.866,-12.523,12.71,31.007,-14.973,11.284,29.718,-12.948,5.568,23.909,-16.196,5.524,22.383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416.62,0.123333333,-0.403333333,-1.096666667,-0.734166667,-1.006382673,-0.850601763,-1.059811953,-0.699724801,even,upto1988
1969,1969,Odd,1.159891,5.98847,4.828579,2.479968603,2.414736,2.479968825,0.9082459,5.76785,3.315682,NA,NA,0,5.76785,5.76785,0.298872387,0.298872387,0.335089688,0.335089688,359.2902477,259.5531054,61446.60754,86362.35171,50177.80115,77593.77685,0.60282,0,0,0,25.3574845,44.61068432,34.98408441,15.99638859,1.116727172,1662.782267,0.090972421,0.134827893,0.081532865,0.324639299,-1.14135932,-0.691949159,-0.722076744,-0.474296635,5.767,16.284,33.286,6.45,17.903,33.811,-7.496,12.826,30.965,-8.099,14.128,31.792,-11.516,11.467,29.963,-12.523,12.71,31.007,-15.394,8.157,21.014,-12.948,5.568,23.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410.4,0.06,-0.098333333,0.123333333,-0.403333333,-0.57957761,-0.387628509,-1.006382673,-0.850601763,odd,upto1988
1970,1970,Even,2.807397,5.617393,2.809996,1.694189073,3.315682,1.69418931,0.527204203,5.98847,1.159891,NA,NA,0,5.98847,5.98847,0.310304242,0.310304242,0.298833659,0.298833659,212.1567726,359.2902477,71709.86726,61446.60754,62249.08552,50177.80115,0.00116,0.60282,0,0,40.5598113,25.3574845,32.9586479,20.32902654,1.578038364,1884.238605,-1.14135932,-0.691949159,-0.722076744,-0.474296635,0.526417044,0.164496873,0.737687798,0.287468797,8.393,16.874,30.65,5.767,16.284,33.286,-4.916,11.891,27.917,-7.496,12.826,30.965,-10.009,10.296,26.909,-11.516,11.467,29.963,-7.216,5.739,22.615,-15.394,8.157,21.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404.16,-0.75,-0.3975,0.06,-0.098333333,0.35219072,0.061043154,-0.57957761,-0.387628509,even,upto1988
1971,1971,Odd,3.18965,10.500614,7.310964,9.053103896,1.159891,9.053104128,2.203107671,5.617393,2.807397,NA,NA,0,5.617393,5.617393,0.291076164,0.291076164,0.302552903,0.302552903,317.793316,212.1567726,59981.92534,71709.86726,42507.10157,62249.08552,2.124376,0.00116,0,0,53.80269281,40.5598113,47.18125206,38.59715414,1.401571896,1846.314102,0.526417044,0.164496873,0.737687798,0.287468797,-0.44654565,-1.225689464,-0.094868955,-1.438698569,2.936,12.902,29.703,8.393,16.874,30.65,-16.723,8.972,29.044,-4.916,11.891,27.917,-25.358,4.349,27.566,-10.009,10.296,26.909,-19.113,3.91,22.475,-7.216,5.739,22.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381.18,-1.3,-1.290833333,-0.75,-0.3975,0.636532167,0.381984271,0.35219072,0.061043154,odd,upto1988
1972,1972,Even,1.838245,1.893028,0.054783,0.67430027,2.807397,0.674300072,-0.394079763,10.500614,3.18965,NA,NA,0,10.500614,10.500614,0.544109776,0.544109776,0.341115149,0.341115149,187.2075776,317.793316,43921.32232,59981.92534,40219.1951,42507.10157,0,2.124376,0,0,41.29372721,53.80269281,47.54821001,16.82089773,1.442255486,1698.672335,-0.44654565,-1.225689464,-0.094868955,-1.438698569,-1.264183772,-0.778205328,-1.313422833,-1.460863452,2.581,13.064,31.53,2.936,12.902,29.703,-15.593,6.314,30.247,-16.723,8.972,29.044,-20.423,3.975,29.261,-25.358,4.349,27.566,-21.377,1.97,18.136,-19.113,3.91,22.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.82,-0.816666667,-0.921666667,-1.3,-1.290833333,-0.50358629,-0.659303726,0.636532167,0.381984271,even,upto1988
1973,1973,Odd,3.51207,10.823034,7.310964,3.39317266,3.18965,3.393172919,1.221765372,1.893028,1.838245,NA,NA,0,1.893028,1.893028,0.098090935,0.098090935,0.308490701,0.308490701,225.402197,187.2075776,38421.327,43921.32232,28493.55051,40219.1951,1.957855,0,0,0,47.09543306,41.29372721,44.19458014,24.14145233,1.59319153,1911.32144,-1.264183772,-0.778205328,-1.313422833,-1.460863452,-0.605272087,-0.354324404,-0.652301518,-0.457626145,5.217,15.111,30.114,2.581,13.064,31.53,-11.563,7.901,27.754,-15.593,6.314,30.247,-17.828,8.503,27.006,-20.423,3.975,29.261,-15.868,4.83,17.536,-21.377,1.97,18.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456.66,-0.893333333,-0.804166667,-0.816666667,-0.921666667,0.33506073,0.126585564,-0.50358629,-0.659303726,odd,upto1988
1974,1974,Even,2.746904,2.801687,0.054783,1.524109159,1.838245,1.524109681,0.421410081,10.823034,3.51207,NA,NA,0,10.823034,10.823034,0.560816597,0.560816597,0.360879543,0.360879543,197.811736,225.402197,40672.37709,38421.327,34485.52038,28493.55051,0.35,1.957855,0,0,37.42661773,47.09543306,42.2610254,23.57178937,1.531543217,1810.327548,-0.605272087,-0.354324404,-0.652301518,-0.457626145,-0.832641969,-0.311483794,-0.562654254,-0.339383,3.988,16.237,34.057,5.217,15.111,30.114,-13.502,10.406,32.674,-11.563,7.901,27.754,-22.84,10.693,32.052,-17.828,8.503,27.006,-18.362,5.125,20.958,-15.868,4.83,17.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448.32,-0.04,-0.336666667,-0.893333333,-0.804166667,0.285837753,-0.009310217,0.33506073,0.126585564,even,upto1988
1975,1975,Odd,3.628326,5.685204,2.056878,1.618761517,3.51207,1.618761585,0.481661361,2.801687,2.746904,NA,NA,0,2.801687,2.801687,0.145174871,0.145174871,0.327853669,0.327853669,328.8973084,197.811736,51478.96635,40672.37709,36029.64489,34485.52038,1.23559,0.35,0,0,23.29795724,37.42661773,30.36228749,13.29510171,1.374736695,1847.034804,-0.832641969,-0.311483794,-0.562654254,-0.339383,-0.360946419,-1.028120356,-0.164852726,-0.986694003,4.104,13.493,30.624,3.988,16.237,34.057,-12.372,7.329,29.911,-13.502,10.406,32.674,-21.593,5.368,29.04,-22.84,10.693,32.052,-18.242,3.548,18.585,-18.362,5.125,20.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455.36,-0.876666667,-1.101666667,-0.04,-0.336666667,0.664931843,0.798500537,0.285837753,-0.009310217,odd,upto1988
1976,1976,Even,2.042081,2.490854,0.448773,0.90678623,2.746904,0.906785967,-0.097848546,5.685204,3.628326,NA,NA,0,5.685204,5.685204,0.294589923,0.294589923,0.32855642,0.32855642,295.1668002,328.8973084,100496.5624,51478.96635,89911.83375,36029.64489,0.050916,1.23559,3.840916,0,35.12436551,23.29795724,29.21116138,18.47770364,1.58826295,2006.805981,-0.360946419,-1.028120356,-0.164852726,-0.986694003,-0.827968973,-0.891544561,-0.57183158,-0.668804432,4.11,13.121,30.417,4.104,13.493,30.624,-10.709,7.255,28.751,-12.372,7.329,29.911,-19.412,3.877,27.965,-21.593,5.368,29.04,-17.01,4.144,23.832,-18.242,3.548,18.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447.04,0.406666667,0.008333333,-0.876666667,-1.101666667,2.2568419,1.86321135,0.664931843,0.798500537,even,upto1988
1977,1977,Odd,4.35111,8.649844,4.298734,2.383976595,3.628326,2.383976523,0.868769931,2.490854,2.042081,0.017545,NA,0,2.490854,2.490854,0.129068454,0.129068454,0.245548156,0.245548156,397.0460682,295.1668002,94546.5435,100496.5624,78822.38828,89911.83375,8.616152,0.050916,0,3.840916,42.22172156,35.12436551,38.67304353,25.77823862,1.686897381,2256.979538,-0.827968973,-0.891544561,-0.57183158,-0.668804432,0.757502852,0.288324058,0.53779278,0.587993101,10.328,16.83,33.603,4.11,13.121,30.417,-0.03,9.154,25.298,-10.709,7.255,28.751,-2.761,7.846,28.242,-19.412,3.877,27.965,-5.405,6.706,23.484,-17.01,4.144,23.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458.25,0.416666667,0.230833333,0.406666667,0.008333333,1.081795227,1.249270341,2.2568419,1.86321135,odd,upto1988
1978,1978,Even,2.165671,5.335368,3.169697,2.612710646,2.042081,2.612711249,0.960388244,8.649844,4.35111,0.114188,0.017545,0.017545,8.649844,8.667389,0.44911765,0.448208522,0.315753499,0.315571673,321.4264339,397.0460682,109786.7254,94546.5435,99554.17459,78822.38828,5.159123,8.616152,0,0,41.22054941,42.22172156,41.72113549,24.41243128,1.951568869,2416.032706,0.757502852,0.288324058,0.53779278,0.587993101,-0.05781434,0.507071595,-0.279821316,0.185831043,9.159,17.13,31.298,10.328,16.83,33.603,-2.124,9.38,23.449,-0.03,9.154,25.298,-5.531,10.915,27.102,-2.761,7.846,28.242,-7.3,7.561,18.123,-5.405,6.706,23.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450.63,-0.55,0.235833333,0.416666667,0.230833333,0.55797851,0.504466636,1.081795227,1.249270341,even,upto1988
1979,1979,Odd,8.319888,22.753414,14.433526,5.229336125,4.35111,5.229335503,1.654284334,5.335368,2.165671,0.498748,0.114188,0.114188,5.335368,5.449556,0.282379363,0.276462489,0.260066052,0.258700852,450.3387399,321.4264339,129838.4152,109786.7254,93184.05934,99554.17459,37.410929,5.159123,16.940784,0,35.10231606,41.22054941,38.16143274,22.35061886,2.039062791,2680.449059,-0.05781434,0.507071595,-0.279821316,0.185831043,-0.068984816,0.296486389,0.420785224,0.526088101,7.84,17.761,35.243,9.159,17.13,31.298,-5.905,11.04,33.76,-2.124,9.38,23.449,-9.124,11.928,33.129,-5.531,10.915,27.102,-13.719,6.499,22.057,-7.3,7.561,18.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489.75,0.51,0.335,-0.55,0.235833333,-1.073985963,-0.737188575,0.55797851,0.504466636,odd,upto1988
1980,1980,Even,3.139455,16.058329,12.918874,7.41494448,2.165671,7.414943913,2.003497488,22.753414,8.319888,1.405528,0.498748,0.498748,22.753414,23.252162,1.204856083,1.179012484,0.472002295,0.465468375,343.0880027,450.3387399,129150.1485,129838.4152,101040.4312,93184.05934,56.776341,37.410929,24.926171,16.940784,34.87546737,35.10231606,34.98889172,16.52747596,2.068745906,2563.925021,-0.068984816,0.296486389,0.420785224,0.526088101,0.465025795,0.139577762,0.37361546,0.093926934,7.451,16.616,32.527,7.84,17.761,35.243,-6.246,10.914,29.659,-5.905,11.04,33.76,-12.073,10.669,29.127,-9.124,11.928,33.129,-10.779,6.788,18.629,-13.719,6.499,22.057,NA,NA,314.6266667,NA,NA,8.096666667,NA,NA,1.666666667,340.5302972,-0.142978014,8.090444921,1.82545544,485.63,0.173333333,0.6025,0.51,0.335,-0.918769883,-0.749107276,-1.073985963,-0.737188575,even,upto1988
1981,1981,Odd,6.210777,23.613324,17.402547,2.83817804,8.319888,2.83817811,1.043162311,16.058329,3.139455,2.138544,1.405528,1.405528,16.058329,17.463857,0.904923781,0.832093609,0.594069066,0.572969112,463.9979491,343.0880027,158010.3671,129150.1485,112424.4647,101040.4312,68.920043,56.776341,24.32333,24.926171,48.90529648,34.87546737,41.89038192,29.40051696,2.225128576,2863.233137,0.465025795,0.139577762,0.37361546,0.093926934,0.745678154,0.876009985,0.279806002,1.504115861,10.162,19.074,33.72,7.451,16.616,32.527,-0.609,12.4,30.445,-6.246,10.914,29.659,-4.022,12.715,29.494,-12.073,10.669,29.127,-4.118,5.642,20.915,-10.779,6.788,18.629,188.4233333,325.3866667,330.34,8.113333333,8.106666667,8.1,1.88,1.783333333,1.71,335.5344034,-0.094728128,8.09567202,1.893154265,487.1,0.903333333,0.918333333,0.173333333,0.6025,-0.404988956,-0.221840562,-0.918769883,-0.749107276,odd,upto1988
1982,1982,Even,5.30137,20.246569,14.945199,6.449070822,3.139455,6.449071256,1.863936062,23.613324,6.210777,5.679161,2.138544,2.138544,23.613324,25.751868,1.334383221,1.223570396,0.83513202,0.7918695,312.4880326,463.9979491,130817.1288,158010.3671,88548.02662,112424.4647,139.118862,68.920043,93.876752,24.32333,62.00967293,48.90529648,55.45748471,39.49177118,2.341667853,2795.84773,0.745678154,0.876009985,0.279806002,1.504115861,0.19834455,-0.581847713,0.399440505,-0.692339837,6.297,13.06,30.424,10.162,19.074,33.72,-9.532,5.987,27.974,-0.609,12.4,30.445,-12.107,3.853,26.752,-4.022,12.715,29.494,-19.72,0.876,17.361,-4.118,5.642,20.915,180.1133333,322.96,327.5566667,8.123333333,8.113333333,8.106666667,1.993333333,1.826666667,1.696666667,329.3330114,0.266267478,8.102530121,1.858486547,486.63,0.063333333,0.114166667,0.903333333,0.918333333,-0.638386033,-0.686691381,-0.404988956,-0.221840562,even,upto1988
1983,1983,Odd,5.74285,15.307092,9.564242,2.464601755,6.210777,2.464601772,0.902030235,20.246569,5.30137,4.385455,5.679161,5.679161,20.246569,25.92573,1.343392219,1.049115425,1.013986933,0.912050881,564.9743189,312.4880326,132972.791,130817.1288,101796.4365,88548.02662,219.593984,139.118862,125.651548,93.876752,44.97916511,62.00967293,53.49441902,28.76401821,2.317788639,3120.341109,0.19834455,-0.581847713,0.399440505,-0.692339837,0.7620491,1.374609272,0.447546295,1.113773382,8.123,18.673,35.105,6.297,13.06,30.424,-5.623,10.958,30.583,-9.532,5.987,27.974,-9.26,12.416,30.958,-12.107,3.853,26.752,-12.949,4.913,18.366,-19.72,0.876,17.361,191.71,317.5266667,326.46,8.12,8.113333333,8.1,1.846666667,1.813333333,1.72,332.6153019,0.516776398,8.099244959,1.904904779,483.68,2.573333333,1.648333333,0.063333333,0.114166667,-0.045177634,-0.092064694,-0.638386033,-0.686691381,odd,upto1988
1984,1984,Even,10.234627,27.866302,17.631675,5.256433738,5.30137,5.256434092,1.6594528,15.307092,5.74285,4.037386,4.385455,4.385455,15.307092,19.692547,1.020407696,0.793166799,1.1615926,1.015391743,432.0901644,564.9743189,171966.8585,132972.791,115265.0639,101796.4365,265.347561,219.593984,140.95015,125.651548,50.09006077,44.97916511,47.53461294,27.11152754,2.433404459,3060.499164,0.7620491,1.374609272,0.447546295,1.113773382,0.977983183,0.551329848,0.990916042,1.174161524,8.717,18.178,34.79,8.123,18.673,35.105,-6.378,9.417,32.021,-5.623,10.958,30.583,-12.089,9.472,31.767,-9.26,12.416,30.958,-10.216,4.259,20.022,-12.949,4.913,18.366,181.04,321.61,333.9333333,8.123333333,8.116666667,8.103333333,1.953333333,1.843333333,1.736666667,334.9568669,1.268161528,8.09676933,1.908574113,470.46,-0.01,0.8375,2.573333333,1.648333333,0.507168573,0.620750037,-0.045177634,-0.092064694,even,upto1988
1985,1985,Odd,6.731643,24.321751,17.590108,4.235136169,5.74285,4.235136039,1.443415481,27.866302,10.234627,8.067647,4.037386,4.037386,27.866302,31.903688,1.653151761,1.443946739,1.251251736,1.068378594,462.1433936,432.0901644,214266.5403,171966.8585,161294.9598,115265.0639,342.162906,265.347561,158.262153,140.95015,68.11675276,50.09006077,59.10340676,40.07144564,2.779353442,3414.730645,0.977983183,0.551329848,0.990916042,1.174161524,0.404955232,-0.498592944,1.090491392,-0.486061292,9.112,13.746,31.541,8.717,18.178,34.79,-4.558,5.114,29.25,-6.378,9.417,32.021,-7.204,4.102,29.068,-12.089,9.472,31.767,-11.956,0.08,17.42,-10.216,4.259,20.022,181.74,319.6,334.6133333,8.123333333,8.116666667,8.096666667,1.966666667,1.85,1.666666667,334.7954337,0.156704856,8.095463818,1.837238802,524.25,0.686666667,0.449166667,-0.01,0.8375,-0.032992801,-0.393901047,0.507168573,0.620750037,odd,upto1988
1986,1986,Even,2.826646,7.404669,4.578023,0.723491773,10.234627,0.723491828,-0.323666105,24.321751,6.731643,6.792641,8.067647,8.067647,24.321751,32.389398,1.678319772,1.260278922,1.405930934,1.154015656,391.7911072,462.1433936,179025.0875,214266.5403,158075.9982,161294.9598,361.629692,342.162906,217.115561,158.262153,68.59963801,68.11675276,68.35819538,38.3043139,2.845566903,3403.855385,0.404955232,-0.498592944,1.090491392,-0.486061292,-0.14977669,0.160682804,0.220200513,-0.209236607,7.875,14.892,31.752,9.112,13.746,31.541,-8.318,7.312,28.924,-4.558,5.114,29.25,-11.996,6.49,29.442,-7.204,4.102,29.068,-13.569,1.343,17.533,-11.956,0.08,17.42,192.98,324.08,327.28,8.113333333,8.113333333,8.093333333,1.816666667,1.763333333,1.72,340.205437,0.73270281,8.089840164,1.855637714,508.25,0.83,1.239166667,0.686666667,0.449166667,-0.87517878,-0.732847288,-0.032992801,-0.393901047,even,upto1988
1987,1987,Odd,3.934108,15.628835,11.694727,2.32169708,6.731643,2.321696947,0.842298418,7.404669,2.826646,17.304638,6.792641,6.792641,7.404669,14.19731,0.735661283,0.383687353,1.286186546,0.986039048,402.4424501,391.7911072,122689.8629,179025.0875,68523.82834,158075.9982,490.732839,361.629692,289.64773,217.115561,59.15897548,68.59963801,63.87930674,35.93642869,2.603727762,3158.87071,-0.14977669,0.160682804,0.220200513,-0.209236607,1.251110195,0.268803156,1.358523375,0.6211543,9.863,16.509,32.48,7.875,14.892,31.752,-2.866,8.932,30.077,-8.318,7.312,28.924,-6.503,9.306,30.823,-11.996,6.49,29.442,-10.807,3.802,18.949,-13.569,1.343,17.533,188.1833333,321.1033333,341.26,8.13,8.113333333,8.093333333,1.91,1.866666667,1.693333333,349.3997438,0.256170821,8.082861863,1.834530433,547.38,1.856666667,1.820833333,0.83,1.239166667,0.386701817,0.429174729,-0.87517878,-0.732847288,odd,upto1988
1988,1988,Even,2.7843,3.580072,0.795772,1.266544488,2.826646,1.266544166,0.236292317,15.628835,3.934108,10.533495,17.304638,17.304638,15.628835,32.933473,1.706512078,0.80983854,1.358810518,0.938183671,309.0492261,402.4424501,94372.44434,122689.8629,70798.01686,68523.82834,444.133581,490.732839,297.246327,289.64773,59.39062289,59.15897548,59.27479918,28.01233424,3.027258766,3457.249044,1.251110195,0.268803156,1.358523375,0.6211543,0.932612086,0.38853727,0.777538892,0.336396621,8.189,16.485,31.685,9.863,16.509,32.48,-2.984,9.841,30.411,-2.866,8.932,30.077,-9.033,10.206,31.209,-6.503,9.306,30.823,-9.342,4.911,18.106,-10.807,3.802,18.949,189.3266667,327.8533333,350.7233333,8.116666667,8.11,8.086666667,1.853333333,1.806666667,1.666666667,364.7288946,-0.461440179,8.064897682,1.750886411,526.51,0.523333333,0.531666667,1.856666667,1.820833333,1.620138567,1.323636763,0.386701817,0.429174729,even,upto1988
